Vecindario,Vecindario Latitude,Vecindario Longitude,Lugar,Lugar Latitude,Lugar Longitude,Categoria Lugar
Bartlett,37.789,-122.21,China Pack Kitchen,37.7907,-122.205,Chinese Restaurant
Bella Vista,37.7997,-122.238,The Perfect Sidekick LGBT Gym,37.8024,-122.241,Gym / Fitness Center
Bella Vista,37.7997,-122.238,ampm,37.8031,-122.235,Convenience Store
Bella Vista,37.7997,-122.238,Dave's Grocery & Liquor,37.8022,-122.242,Grocery Store
Bella Vista,37.7997,-122.238,24 liquor,37.8025,-122.239,Liquor Store
Bella Vista,37.7997,-122.238,Park Massage,37.8028,-122.239,Massage Studio
Bella Vista,37.7997,-122.238,Creative Framing & Gallery,37.8022,-122.242,Frame Store
Brookfield Village,37.7352,-122.186,East Oakland Sports Center,37.7381,-122.19,Gym / Fitness Center
Brookfield Village,37.7352,-122.186,Eagle Tree Service,37.7346,-122.187,Tree
Brookfield Village,37.7352,-122.186,Brookfield Food Center,37.7366,-122.183,Deli / Bodega
Brookfield Village,37.7352,-122.186,Brookfield Discount Liquor,37.7368,-122.183,Liquor Store
Brookfield Village,37.7352,-122.186,Saleh Smokehouse Market,37.7369,-122.183,BBQ Joint
Brookfield Village,37.7352,-122.186,Ira Jenkins Recreation Center,37.7369,-122.191,Gym
Bushrod Neighborhood,37.846,-122.263,Addis Ethiopian Restaurant,37.8474,-122.261,Ethiopian Restaurant
Bushrod Neighborhood,37.846,-122.263,Nick's Pizza,37.8483,-122.266,Pizza Place
Bushrod Neighborhood,37.846,-122.263,Oriental B.B.Q. Chicken Town,37.8474,-122.261,Korean Restaurant
Bushrod Neighborhood,37.846,-122.263,Saysetha Thai Cuisine,37.8485,-122.261,Thai Restaurant
Bushrod Neighborhood,37.846,-122.263,Dover Street Park,37.8437,-122.266,Playground
Bushrod Neighborhood,37.846,-122.263,William's Liquor and Market/Deli,37.8449,-122.261,Liquor Store
Bushrod Neighborhood,37.846,-122.263,Subway,37.8493,-122.266,Sandwich Place
Bushrod Neighborhood,37.846,-122.263,Uptown Market & Liquor,37.8419,-122.265,Liquor Store
Bushrod Neighborhood,37.846,-122.263,A+ Burger,37.8485,-122.26,Burger Joint
Bushrod Neighborhood,37.846,-122.263,Bushrod Park,37.8457,-122.264,Park
Bushrod Neighborhood,37.846,-122.263,Bushrod Community Recreation Center,37.8455,-122.263,Gym
Bushrod Neighborhood,37.846,-122.263,Shewat,37.8467,-122.266,Ethiopian Restaurant
Bushrod Neighborhood,37.846,-122.263,T&K Market,37.8494,-122.265,Smoke Shop
Bushrod Neighborhood,37.846,-122.263,M & S Kitchen,37.8494,-122.266,Chinese Restaurant
Bushrod Neighborhood,37.846,-122.263,Total Estate Liquidation,37.8499,-122.261,Thrift / Vintage Store
Bushrod Neighborhood,37.846,-122.263,Telegraph & Alcatraz,37.8501,-122.261,Intersection
Caballo Hills,37.7853,-122.166,Merritt College,37.7884,-122.166,Community College
Caballo Hills,37.7853,-122.166,Hotdog Stand at Merritt College,37.7893,-122.166,Hot Dog Joint
Castlemont,37.7591,-122.164,Dogg Pound Cafe,37.7615,-122.168,Coffee Shop
Castlemont,37.7591,-122.164,Bill's Seafood,37.7558,-122.162,Seafood Restaurant
Castlemont,37.7591,-122.164,Kids Time Birthday Parties,37.7556,-122.162,Event Space
Castlemont,37.7591,-122.164,Harrys Drive In,37.7556,-122.161,Convenience Store
Chabot Park,37.7307,-122.131,Chabot Park,37.7311,-122.131,Park
Chabot Park,37.7307,-122.131,Low Chabot,37.7304,-122.131,Park
Chinatown,37.7999,-122.27,Lucky Duck Bicycle Cafe,37.8017,-122.269,Café
Chinatown,37.7999,-122.27,Shan Dong,37.8005,-122.27,Chinese Restaurant
Chinatown,37.7999,-122.27,Golden Peacock Restaurant,37.7996,-122.271,Chinese Restaurant
Chinatown,37.7999,-122.27,Napoleon Super Bakery,37.8,-122.272,Bakery
Chinatown,37.7999,-122.27,Tay Ho Restaurant & Bar,37.8021,-122.27,Vietnamese Restaurant
Chinatown,37.7999,-122.27,i-Tea Bubble Tea & Smoothie,37.8005,-122.271,Bubble Tea Shop
Chinatown,37.7999,-122.27,Binh Minh Quan,37.802,-122.269,Vietnamese Restaurant
Chinatown,37.7999,-122.27,Umami Mart,37.8005,-122.274,Kitchen Supply Store
Chinatown,37.7999,-122.27,Golden Tea Shop,37.8006,-122.273,Tea Room
Chinatown,37.7999,-122.27,Battambang,37.8005,-122.274,Cambodian Restaurant
Chinatown,37.7999,-122.27,Shooting Star Cafe,37.801,-122.27,Chinese Restaurant
Chinatown,37.7999,-122.27,Sweetheart Cafe,37.7995,-122.27,Candy Store
Chinatown,37.7999,-122.27,Wonder Food Bakery,37.7999,-122.271,Bakery
Chinatown,37.7999,-122.27,Blue Bottle Coffee,37.8012,-122.274,Coffee Shop
Chinatown,37.7999,-122.27,Imperial Soup,37.799,-122.272,Noodle House
Chinatown,37.7999,-122.27,New Gold Medal Restaurant,37.7996,-122.272,Chinese Restaurant
Chinatown,37.7999,-122.27,Golden Lotus Vegetarian Restaurant,37.8033,-122.27,Vegetarian / Vegan Restaurant
Chinatown,37.7999,-122.27,Maple Street Denim,37.8009,-122.274,Clothing Store
Chinatown,37.7999,-122.27,Original Pattern Brewing Company,37.796,-122.272,Brewery
Chinatown,37.7999,-122.27,Gyu-Kaku Japanese BBQ,37.8002,-122.274,Japanese Restaurant
Chinatown,37.7999,-122.27,The Cook And Her Farmer,37.8016,-122.275,Seafood Restaurant
Chinatown,37.7999,-122.27,Mad Oak Bar,37.8,-122.265,Bar
Chinatown,37.7999,-122.27,Cosecha,37.8016,-122.275,Mexican Restaurant
Chinatown,37.7999,-122.27,The Kon-Tiki,37.8033,-122.269,Tiki Bar
Chinatown,37.7999,-122.27,Cookiebar Creamery,37.8008,-122.276,Ice Cream Shop
Chinatown,37.7999,-122.27,Miss Ollie's,37.8014,-122.275,Caribbean Restaurant
Chinatown,37.7999,-122.27,b-Dama,37.8016,-122.275,Japanese Restaurant
Chinatown,37.7999,-122.27,Swan's Market,37.8016,-122.275,Food Court
Chinatown,37.7999,-122.27,Delage,37.8016,-122.275,Japanese Restaurant
Chinatown,37.7999,-122.27,Modern Coffee,37.8033,-122.271,Coffee Shop
Chinatown,37.7999,-122.27,BK ROOTS Fitness,37.7963,-122.272,Gym
Chinatown,37.7999,-122.27,Independent Brewing Company,37.7964,-122.271,Brewery
Chinatown,37.7999,-122.27,Good To Eat Dumplings,37.7961,-122.271,Dumpling Restaurant
Chinatown,37.7999,-122.27,Seawolf,37.7965,-122.273,Gastropub
Chinatown,37.7999,-122.27,new tin's market,37.7984,-122.271,Grocery Store
Chinatown,37.7999,-122.27,10th Planet Oakland,37.7987,-122.27,Martial Arts School
Chinatown,37.7999,-122.27,Chinese Garden Park,37.7974,-122.27,Park
City Center (Neighborhood),37.8022,-122.273,Umami Mart,37.8005,-122.274,Kitchen Supply Store
City Center (Neighborhood),37.8022,-122.273,The Cook And Her Farmer,37.8016,-122.275,Seafood Restaurant
City Center (Neighborhood),37.8022,-122.273,Blue Bottle Coffee,37.8012,-122.274,Coffee Shop
City Center (Neighborhood),37.8022,-122.273,Cosecha,37.8016,-122.275,Mexican Restaurant
City Center (Neighborhood),37.8022,-122.273,Battambang,37.8005,-122.274,Cambodian Restaurant
City Center (Neighborhood),37.8022,-122.273,Cookiebar Creamery,37.8008,-122.276,Ice Cream Shop
City Center (Neighborhood),37.8022,-122.273,Delage,37.8016,-122.275,Japanese Restaurant
City Center (Neighborhood),37.8022,-122.273,Miss Ollie's,37.8014,-122.275,Caribbean Restaurant
